Dataset	Genome_ID	n_16S	n_tRNA	total_genes	n_MCP	n_transporter	n_transfact	n_osmostress	n_SMBC	accessions
RefSoil	RefSoil_271	7	84	4565	6	181	345	10	2	NC_011083.1
RefSoil	RefSoil_75	7	86	4566	6	179	327	10	2	NC_006905.1
RefSoil	RefSoil_177	7	84	4261	12	167	312	11	3	NC_009436.1
RefSoil	RefSoil_925	7	90	4674	5	183	421	11	10	NZ_HG326223.1
RefSoil	RefSoil_770	7	80	4633	5	181	328	10	2	NC_021176.1
RefSoil	RefSoil_210	7	83	4993	4	195	427	8	8	NC_009832.1
RefSoil	RefSoil_43	7	80	4621	5	180	325	10	2	NC_004631.1
RefSoil	RefSoil_553	7	79	4597	5	179	323	10	2	NC_016832.1
RefSoil	RefSoil_790	6	80	4855	4	189	434	8	6	NC_021741.1
RefSoil	RefSoil_782	7	81	4832	3	188	434	8	12	NC_021591.1
RefSoil	RefSoil_792	7	91	4601	6	179	335	10	2	NC_021902.1
RefSoil	RefSoil_608	3	38	1835	0	71	44	1	2	NC_017449.1
RefSoil	RefSoil_785	7	86	4958	3	191	448	9	13	NC_021659.1
RefSoil	RefSoil_628	7	89	4566	4	175	329	6	2	NC_017664.1
RefSoil	RefSoil_732	7	85	4822	5	183	415	11	6	NC_020211.1
RefSoil	RefSoil_729	6	48	2481	0	94	171	0	2	NC_020207.1
RefSoil	RefSoil_613	7	82	4176	9	155	305	11	7	NC_017531.1
RefSoil	RefSoil_422	4	68	3743	1	138	278	4	5	NC_014532.1
RefSoil	RefSoil_627	7	90	4599	4	169	321	6	5	NC_017651.1
RefSoil	RefSoil_99	7	92	4659	3	171	371	7	3	NC_007613.1
RefSoil	RefSoil_626	7	81	4694	4	172	332	6	4	NC_017644.1
RefSoil	RefSoil_476	7	88	4971	3	182	442	8	11	NC_015567.1
RefSoil	RefSoil_256	3	38	2102	0	76	47	0	2	NC_010677.1
RefSoil	RefSoil_456	7	77	4411	7	159	350	8	3	NC_015061.1
RefSoil	RefSoil_549	7	81	4237	9	152	307	11	6	NC_016816.1
RefSoil	RefSoil_495	3	39	1957	0	70	55	0	4	NC_015696.1
RefSoil	RefSoil_380	7	101	5056	4	179	350	7	4	NC_013941.1
RefSoil	RefSoil_571	7	77	4535	7	160	354	8	4	NC_017047.1
RefSoil	RefSoil_118	5	71	3318	1	117	235	9	4	NC_007963.1
RefSoil	RefSoil_742	7	79	3525	3	124	254	3	2	NC_020418.1
RefSoil	RefSoil_802	5	61	2459	0	86	124	0	5	NC_022443.1
RefSoil	RefSoil_780	9	87	4673	14	163	362	8	5	NC_021500.1
RefSoil	RefSoil_227	7	77	5441	14	189	468	16	5	NC_010322.1
RefSoil	RefSoil_500	4	68	1846	0	64	100	0	3	NC_015734.1
RefSoil	RefSoil_228	3	39	1966	0	68	95	0	4	NC_010336.1
RefSoil	RefSoil_112	3	38	2098	0	72	49	0	2	NC_007880.1
RefSoil	RefSoil_728	5	59	2359	0	80	129	1	2	NC_020164.1
RefSoil	RefSoil_190	6	80	5289	13	178	448	14	8	NC_009512.1
RefSoil	RefSoil_919	7	80	3866	4	130	262	5	3	NZ_CP008920.1
RefSoil	RefSoil_550	6	68	2067	0	69	146	0	3	NC_016826.1
RefSoil	RefSoil_882	4	69	4743	3	158	443	9	6	NZ_CP007506.2
RefSoil	RefSoil_875	8	80	3991	6	132	289	1	11	NZ_CP007409.1
RefSoil	RefSoil_337	7	78	4276	9	141	308	5	6	NC_012917.1
RefSoil	RefSoil_923	7	104	5340	4	176	358	7	5	NZ_CP008957.1
RefSoil	RefSoil_612	7	71	5144	14	169	443	15	5	NC_017530.1
RefSoil	RefSoil_916	15	98	4768	13	156	341	0	4	NZ_CP008852.1
RefSoil	RefSoil_392	11	115	5191	2	169	345	1	7	NC_014103.1
RefSoil	RefSoil_644	6	80	5455	12	177	466	13	5	NC_017986.1
RefSoil	RefSoil_389	11	118	5162	2	167	358	1	7	NC_014019.1
RefSoil	RefSoil_6	4	73	5671	11	183	487	13	13	NC_002516.2
RefSoil	RefSoil_289	4	77	6048	9	195	511	13	14	NC_011770.1
RefSoil	RefSoil_859	4	74	5991	9	193	507	13	14	NZ_CP006983.1
RefSoil	RefSoil_455	10	83	4042	7	130	290	1	11	NC_014976.1
RefSoil	RefSoil_815	4	67	4847	3	155	450	9	6	NC_022904.2
RefSoil	RefSoil_633	10	86	4003	6	128	282	1	11	NC_017743.1
RefSoil	RefSoil_621	4	74	5759	10	184	487	13	15	NC_017548.1
RefSoil	RefSoil_781	4	74	5791	11	185	490	13	13	NC_021577.1
RefSoil	RefSoil_127	7	72	3986	5	127	259	6	7	NC_008149.1
RefSoil	RefSoil_254	7	82	4020	4	128	238	6	8	NC_010634.1
RefSoil	RefSoil_796	6	82	3396	6	108	222	3	4	NC_022000.1
RefSoil	RefSoil_590	10	86	3945	6	125	282	1	9	NC_017195.1
RefSoil	RefSoil_80	5	63	2588	0	82	173	0	2	NC_007168.1
RefSoil	RefSoil_756	5	70	5054	8	160	422	10	4	NC_020829.1
RefSoil	RefSoil_757	9	89	3952	6	125	289	1	10	NC_020832.1
RefSoil	RefSoil_235	7	77	5232	16	165	417	13	5	NC_010501.1
RefSoil	RefSoil_128	7	67	4157	6	131	304	6	8	NC_008150.1
RefSoil	RefSoil_410	4	68	1906	0	60	120	0	3	NC_014319.1
RefSoil	RefSoil_232	7	81	4072	4	128	234	6	7	NC_010465.1
RefSoil	RefSoil_910	10	87	4206	6	132	301	1	12	NZ_CP008698.1
RefSoil	RefSoil_173	6	58	3064	0	96	194	0	4	NC_009342.1
RefSoil	RefSoil_746	10	87	4216	6	132	302	1	12	NC_020507.1
RefSoil	RefSoil_734	9	77	4030	6	126	292	1	10	NC_020244.1
RefSoil	RefSoil_668	7	76	4254	11	133	300	5	7	NC_018525.1
RefSoil	RefSoil_654	4	76	5855	9	183	489	13	13	NC_018080.1
RefSoil	RefSoil_823	6	71	5376	13	168	439	16	5	NC_023076.1
RefSoil	RefSoil_60	7	82	4071	4	127	242	6	8	NC_006155.1
RefSoil	RefSoil_822	6	72	5451	13	170	439	16	5	NC_023075.1
RefSoil	RefSoil_907	10	87	4201	6	131	300	1	12	NZ_CP007800.1
RefSoil	RefSoil_517	10	92	4137	6	129	301	1	11	NC_016047.1
RefSoil	RefSoil_3	10	87	4214	6	131	302	1	12	NC_000964.3
RefSoil	RefSoil_881	6	62	2771	0	86	137	0	5	NZ_CP007499.1
RefSoil	RefSoil_892	5	76	5972	13	185	503	18	4	NZ_CP007620.1
RefSoil	RefSoil_799	9	88	3692	5	114	255	1	14	NC_022081.1
RefSoil	RefSoil_911	5	79	6518	5	201	570	7	15	NZ_CP008730.1, NZ_CP008729.1, NZ_CP008728.1
RefSoil	RefSoil_586	6	68	4025	5	124	270	6	8	NC_017168.1
RefSoil	RefSoil_760	4	71	5811	11	179	500	12	12	NC_020912.1
RefSoil	RefSoil_663	13	105	5109	6	157	336	1	6	NC_018491.1
RefSoil	RefSoil_140	4	69	5901	11	181	506	12	13	NC_008463.1
RefSoil	RefSoil_922	7	80	4176	4	128	241	6	7	NZ_CP008943.1
RefSoil	RefSoil_514	10	84	3337	8	102	196	0	3	NC_016023.1
RefSoil	RefSoil_620	6	67	2786	0	85	199	0	1	NC_017547.1
RefSoil	RefSoil_810	7	85	5129	14	156	395	15	6	NC_022738.1
RefSoil	RefSoil_405	6	71	3849	0	117	293	3	8	NC_014259.1
RefSoil	RefSoil_417	8	77	3981	6	121	278	1	11	NC_014479.1
RefSoil	RefSoil_806	9	86	3726	5	113	264	1	13	NC_022653.1
RefSoil	RefSoil_207	9	88	3729	5	113	264	1	13	NC_009725.1
RefSoil	RefSoil_872	7	85	4325	5	131	240	4	9	NZ_CP007230.1
RefSoil	RefSoil_788	6	76	3637	0	110	243	3	7	NC_021729.1
RefSoil	RefSoil_779	5	73	6382	14	193	512	15	5	NC_021491.1
RefSoil	RefSoil_824	4	76	6175	11	186	534	14	14	NC_023149.1
RefSoil	RefSoil_259	7	81	3487	7	105	223	5	5	NC_010694.1
RefSoil	RefSoil_216	5	77	6189	4	186	542	7	13	NC_010084.1, NC_010086.1, NC_010087.1
RefSoil	RefSoil_499	6	71	5459	14	164	464	16	4	NC_015733.1
RefSoil	RefSoil_591	10	88	4263	8	128	319	1	9	NC_017196.2
RefSoil	RefSoil_146	6	84	6703	6	201	671	10	14	NC_008542.1, NC_008543.1, NC_008544.1
RefSoil	RefSoil_787	6	74	3706	0	111	243	3	7	NC_021726.1
RefSoil	RefSoil_909	5	70	6345	13	190	519	13	14	NZ_CP008696.1
RefSoil	RefSoil_411	9	74	4247	16	127	326	1	1	NC_014328.1
RefSoil	RefSoil_312	14	105	5318	7	159	349	1	6	NC_012472.1
RefSoil	RefSoil_671	6	67	2843	0	85	198	0	1	NC_018584.1
RefSoil	RefSoil_735	10	95	3787	5	113	264	1	12	NC_020272.1
RefSoil	RefSoil_38	7	77	4461	11	133	303	5	8	NC_004547.2
RefSoil	RefSoil_536	6	65	5942	4	177	501	9	7	NC_016589.1, NC_016625.1, NC_016590.1
RefSoil	RefSoil_617	6	67	2824	0	84	203	0	1	NC_017544.1
RefSoil	RefSoil_196	8	83	4548	14	135	388	5	4	NC_009654.1
RefSoil	RefSoil_33	7	69	3540	3	105	212	4	6	NC_004193.1
RefSoil	RefSoil_820	5	68	6238	19	185	539	14	12	NC_023064.1
RefSoil	RefSoil_314	6	67	2800	0	83	194	0	2	NC_012488.1
RefSoil	RefSoil_681	6	67	2801	0	83	193	0	2	NC_018642.1
RefSoil	RefSoil_821	10	94	3754	5	111	261	1	13	NC_023073.1
RefSoil	RefSoil_302	13	94	5212	6	154	362	1	7	NC_011969.1
RefSoil	RefSoil_818	4	73	5991	11	177	504	12	12	NC_023019.1
RefSoil	RefSoil_677	6	67	2845	0	84	202	0	2	NC_018591.1
RefSoil	RefSoil_889	6	67	2813	0	83	196	0	2	NZ_CP007600.1
RefSoil	RefSoil_678	6	67	2818	0	83	204	0	1	NC_018593.1
RefSoil	RefSoil_674	6	67	2853	0	84	199	0	2	NC_018587.1
RefSoil	RefSoil_467	5	82	6895	5	203	710	14	19	NC_015381.1, NC_015376.1
RefSoil	RefSoil_77	6	60	3025	0	89	179	0	4	NC_006958.1
RefSoil	RefSoil_541	14	104	5247	5	154	351	1	7	NC_016771.1
RefSoil	RefSoil_543	10	95	3896	5	114	266	1	12	NC_016784.1
RefSoil	RefSoil_62	13	96	5299	6	155	354	1	7	NC_006274.1
RefSoil	RefSoil_880	6	67	2807	0	82	196	0	2	NZ_CP007492.1
RefSoil	RefSoil_718	9	88	3800	5	111	262	1	13	NC_019842.1
RefSoil	RefSoil_17	6	67	2808	0	82	195	0	2	NC_002973.6
RefSoil	RefSoil_673	6	67	2877	0	84	201	0	1	NC_018586.1
RefSoil	RefSoil_868	6	67	2809	0	82	193	0	1	NZ_CP007172.1
RefSoil	RefSoil_672	6	66	2844	0	83	199	0	2	NC_018585.1
RefSoil	RefSoil_364	7	76	4194	12	122	312	5	10	NC_013592.1
RefSoil	RefSoil_737	4	55	2827	0	82	132	1	5	NC_020302.1
RefSoil	RefSoil_777	7	73	4275	6	124	322	1	12	NC_021362.1
RefSoil	RefSoil_255	6	66	7173	7	208	630	10	11	NC_010681.1, NC_010676.1
RefSoil	RefSoil_748	6	60	3070	0	89	178	0	4	NC_020519.1
RefSoil	RefSoil_863	7	78	4900	1	142	376	5	10	NZ_CP007044.2
RefSoil	RefSoil_89	6	76	5729	15	166	457	16	10	NC_007492.2
RefSoil	RefSoil_279	14	104	5316	5	154	355	1	7	NC_011658.1
RefSoil	RefSoil_632	10	96	5455	6	158	362	1	8	NC_017729.1
RefSoil	RefSoil_833	11	95	5456	6	158	364	1	8	NZ_CM002401.1
RefSoil	RefSoil_622	4	75	6216	10	180	529	12	12	NC_017549.1
RefSoil	RefSoil_831	11	95	5457	6	158	363	1	8	NZ_CM002395.1
RefSoil	RefSoil_323	11	95	5459	6	158	364	1	7	NC_012659.1
RefSoil	RefSoil_98	11	95	5460	6	158	364	1	7	NC_007530.2
RefSoil	RefSoil_639	6	74	5357	11	155	450	14	11	NC_017911.1
RefSoil	RefSoil_468	5	67	6049	19	175	514	12	10	NC_015379.1
RefSoil	RefSoil_31	11	95	5463	6	158	364	1	7	NC_003997.3
RefSoil	RefSoil_291	12	96	5364	6	155	346	1	8	NC_011773.1
RefSoil	RefSoil_244	7	84	3636	5	105	239	3	5	NC_010554.1
RefSoil	RefSoil_471	6	57	2495	0	72	138	0	0	NC_015460.1
RefSoil	RefSoil_891	11	96	5407	7	156	361	1	7	NZ_CP007618.1
RefSoil	RefSoil_70	7	75	4299	3	124	324	3	4	NC_006582.1
RefSoil	RefSoil_431	7	75	4096	5	118	281	2	12	NC_014639.1
RefSoil	RefSoil_904	6	81	7325	6	211	691	11	15	NZ_CP007787.1, NZ_CP007786.1, NZ_CP007785.1
RefSoil	RefSoil_897	11	95	5458	6	157	361	1	7	NZ_CP007666.1
RefSoil	RefSoil_55	11	95	5461	6	157	365	1	7	NC_005945.1
RefSoil	RefSoil_419	7	77	4280	11	123	307	5	7	NC_014500.1
RefSoil	RefSoil_542	12	105	5256	7	151	339	1	9	NC_016779.1
RefSoil	RefSoil_676	6	65	2924	0	84	206	0	1	NC_018589.1
RefSoil	RefSoil_894	6	79	5432	10	156	452	13	11	NZ_CP007638.1
RefSoil	RefSoil_832	11	95	5468	6	157	364	1	8	NZ_CM002398.1
RefSoil	RefSoil_675	6	67	2926	0	84	204	0	1	NC_018588.1
RefSoil	RefSoil_776	5	72	6132	15	176	533	11	14	NC_021237.1
RefSoil	RefSoil_30	12	97	5264	5	151	356	1	7	NC_003909.8
RefSoil	RefSoil_903	6	78	7078	3	203	645	9	13	NZ_CP007783.1, NZ_CP007784.1, NZ_CP007782.1
RefSoil	RefSoil_592	14	105	5370	6	154	341	1	9	NC_017200.1
RefSoil	RefSoil_915	10	96	5442	7	156	363	1	7	NZ_CP008846.1
RefSoil	RefSoil_899	11	95	5478	6	157	364	1	7	NZ_CP007704.1
RefSoil	RefSoil_838	11	93	5583	6	160	364	1	7	NZ_CP001974.1
RefSoil	RefSoil_912	10	107	5479	6	157	365	1	7	NZ_CP008752.1
RefSoil	RefSoil_853	10	96	5448	6	156	362	1	7	NZ_CP006742.1
RefSoil	RefSoil_666	2	59	5847	5	167	537	5	10	NC_018513.1, NC_018514.1
RefSoil	RefSoil_618	5	58	2947	0	84	208	0	1	NC_017545.1
RefSoil	RefSoil_789	6	73	3792	0	108	255	3	6	NC_021733.1
RefSoil	RefSoil_918	6	70	5411	13	154	453	12	12	NZ_CP008896.1
RefSoil	RefSoil_837	11	93	5524	6	157	365	1	7	NZ_CP001970.1
RefSoil	RefSoil_370	5	59	2958	0	84	214	0	1	NC_013768.1
RefSoil	RefSoil_857	7	72	3956	5	112	258	1	12	NZ_CP006890.1
RefSoil	RefSoil_424	10	94	4028	5	114	260	1	11	NC_014551.1
RefSoil	RefSoil_376	6	68	2687	0	76	178	0	1	NC_013891.1
RefSoil	RefSoil_587	6	70	3998	5	113	261	1	10	NC_017188.1
RefSoil	RefSoil_243	6	78	6442	5	182	590	6	16	NC_010551.1, NC_010552.1, NC_010557.1
RefSoil	RefSoil_589	7	75	4000	5	113	260	1	10	NC_017191.1
RefSoil	RefSoil_619	6	67	2939	0	83	206	0	1	NC_017546.1
RefSoil	RefSoil_385	7	79	3364	5	95	195	6	3	NC_013971.1
RefSoil	RefSoil_324	5	70	6020	18	170	522	14	10	NC_012660.1
RefSoil	RefSoil_383	7	78	3367	5	95	195	6	3	NC_013961.1
RefSoil	RefSoil_224	14	108	5252	5	148	341	1	9	NC_010184.1
RefSoil	RefSoil_890	14	107	5752	8	162	393	0	11	NZ_CP007607.1
RefSoil	RefSoil_357	7	75	4511	11	127	288	6	6	NC_013421.1
RefSoil	RefSoil_684	6	71	6018	5	169	502	11	8	NC_018695.1, NC_018672.1
RefSoil	RefSoil_219	2	36	1389	0	39	52	0	2	NC_010163.1
RefSoil	RefSoil_588	7	72	4062	5	114	255	1	10	NC_017190.1
RefSoil	RefSoil_63	7	72	4279	7	120	326	1	11	NC_006322.1
RefSoil	RefSoil_638	7	78	4709	12	132	286	6	6	NC_017845.1
RefSoil	RefSoil_690	3	41	1643	5	46	38	1	1	NC_018709.3
RefSoil	RefSoil_811	12	97	4966	5	139	343	0	7	NC_022781.1
RefSoil	RefSoil_369	5	59	3004	0	84	217	0	1	NC_013766.2
RefSoil	RefSoil_643	2	39	5048	0	141	333	6	7	NC_017964.1
RefSoil	RefSoil_32	5	75	6266	15	175	536	11	15	NC_004129.6
RefSoil	RefSoil_326	9	68	3044	3	85	171	1	1	NC_012673.1
RefSoil	RefSoil_93	6	74	7709	6	215	772	14	14	NC_007510.1, NC_007511.1, NC_007509.1
RefSoil	RefSoil_123	7	83	5069	14	141	395	12	13	NC_008027.1
RefSoil	RefSoil_573	10	91	4138	5	115	279	1	14	NC_017061.1
RefSoil	RefSoil_36	5	59	2810	0	78	154	1	3	NC_004369.1
RefSoil	RefSoil_640	9	86	4146	5	115	279	1	14	NC_017912.1
RefSoil	RefSoil_237	6	79	7105	5	197	708	11	14	NC_010508.1, NC_010515.1, NC_010512.1
RefSoil	RefSoil_733	12	104	5776	7	160	398	0	11	NC_020238.1
RefSoil	RefSoil_400	14	103	5327	7	147	338	1	11	NC_014171.1
RefSoil	RefSoil_830	3	67	5581	16	154	413	13	9	NZ_CM002330.1
RefSoil	RefSoil_876	5	66	5746	20	158	461	12	12	NZ_CP007410.1
RefSoil	RefSoil_848	14	96	5759	8	158	393	0	11	NZ_CP004870.1
RefSoil	RefSoil_297	5	51	3937	0	108	282	1	5	NC_011886.1
RefSoil	RefSoil_485	9	72	2953	5	81	156	0	2	NC_015634.1
RefSoil	RefSoil_290	13	97	5366	7	147	350	1	12	NC_011772.1
RefSoil	RefSoil_283	14	108	5334	7	146	343	1	9	NC_011725.1
RefSoil	RefSoil_551	5	67	6034	17	165	488	12	11	NC_016830.1
RefSoil	RefSoil_686	15	73	5379	5	147	362	0	10	NC_018693.1
RefSoil	RefSoil_523	3	48	1905	1	52	106	4	0	NC_016148.1
RefSoil	RefSoil_45	13	108	5504	7	150	335	1	10	NC_004722.1
RefSoil	RefSoil_614	4	65	4330	11	118	263	6	7	NC_017532.1
RefSoil	RefSoil_221	3	54	3157	0	86	195	2	5	NC_010169.1, NC_010167.1
RefSoil	RefSoil_138	6	75	6550	5	178	607	7	21	NC_008390.1, NC_008391.1, NC_008392.1
RefSoil	RefSoil_307	5	59	1807	0	49	119	1	4	NC_012004.1
RefSoil	RefSoil_132	8	93	2879	0	78	153	0	1	NC_008261.1
RefSoil	RefSoil_651	12	97	3886	8	105	260	0	3	NC_018065.1
RefSoil	RefSoil_900	3	55	3111	0	84	196	2	5	NZ_CP007705.1, NZ_CP007706.1
RefSoil	RefSoil_896	3	55	3112	0	84	196	2	5	NZ_CP007663.1, NZ_CP007662.1
RefSoil	RefSoil_26	10	97	2670	0	72	137	0	1	NC_003366.1
RefSoil	RefSoil_457	6	69	6009	2	162	485	12	8	NC_015136.1, NC_015137.1
RefSoil	RefSoil_192	5	57	2421	0	65	115	4	1	NC_009524.1
RefSoil	RefSoil_698	7	72	5491	14	147	442	12	6	NC_019670.1
RefSoil	RefSoil_393	7	82	6649	8	178	526	15	8	NC_014117.1, NC_014118.1, NC_014119.1
RefSoil	RefSoil_611	6	67	2953	0	79	199	0	1	NC_017529.1
RefSoil	RefSoil_217	3	55	3107	0	83	196	2	5	NC_010103.1, NC_010104.1
RefSoil	RefSoil_615	6	66	2958	0	79	199	0	1	NC_017537.1
RefSoil	RefSoil_280	6	66	2961	1	79	198	0	1	NC_011660.1
RefSoil	RefSoil_56	7	76	3261	0	87	205	3	7	NC_005966.1
RefSoil	RefSoil_176	4	66	4167	14	111	258	6	7	NC_009434.1
RefSoil	RefSoil_211	7	70	3692	5	98	270	1	9	NC_009848.2
RefSoil	RefSoil_200	13	106	4071	5	108	242	1	7	NC_009674.1
RefSoil	RefSoil_738	13	85	5523	6	146	393	1	10	NC_020376.1
RefSoil	RefSoil_199	4	62	4584	0	121	349	2	7	NC_009667.1, NC_009668.1
RefSoil	RefSoil_251	3	49	2311	0	61	110	1	6	NC_010617.1
RefSoil	RefSoil_858	3	55	3107	0	82	194	2	5	NZ_CP006961.1, NZ_CP006962.1
RefSoil	RefSoil_593	13	84	5576	6	147	393	1	10	NC_017208.1
RefSoil	RefSoil_179	4	69	4629	12	122	323	6	5	NC_009439.1
RefSoil	RefSoil_568	4	49	2126	0	56	92	0	6	NC_017031.1
RefSoil	RefSoil_695	14	107	5545	6	146	392	1	10	NC_018877.1
RefSoil	RefSoil_905	3	55	3156	0	83	199	2	4	NZ_CP007789.1, NZ_CP007788.1
RefSoil	RefSoil_147	10	81	2320	4	61	112	1	1	NC_008593.1
RefSoil	RefSoil_22	6	66	3045	0	80	207	0	2	NC_003212.1
RefSoil	RefSoil_470	4	56	1942	0	51	130	0	1	NC_015433.1
RefSoil	RefSoil_594	3	55	3165	0	83	198	2	4	NC_017246.1, NC_017247.1
RefSoil	RefSoil_101	3	55	3127	0	82	193	2	4	NC_007618.1, NC_007624.1
RefSoil	RefSoil_665	14	104	5533	7	145	383	1	12	NC_018508.1
RefSoil	RefSoil_844	4	62	7636	0	200	625	4	28	NZ_CP003949.1
RefSoil	RefSoil_76	3	55	3132	0	82	194	2	5	NC_006932.1, NC_006933.1
RefSoil	RefSoil_347	3	55	3094	0	81	196	2	5	NC_013119.1, NC_013118.1
RefSoil	RefSoil_902	3	55	3134	0	82	194	2	5	NZ_CP007765.1, NZ_CP007764.1
RefSoil	RefSoil_19	4	56	4552	2	119	347	2	4	NC_003062.2, NC_003063.2
RefSoil	RefSoil_898	3	55	3141	0	82	195	2	5	NZ_CP007681.1, NZ_CP007680.1
RefSoil	RefSoil_430	6	45	1918	0	50	105	0	1	NC_014632.1
RefSoil	RefSoil_877	4	60	4297	12	112	271	5	7	NZ_CP007441.1
RefSoil	RefSoil_402	2	49	2305	0	60	136	1	0	NC_014215.1
RefSoil	RefSoil_178	8	102	4039	12	105	247	3	5	NC_009438.1
RefSoil	RefSoil_826	4	65	5079	13	132	342	11	12	NZ_CM001763.1
RefSoil	RefSoil_871	5	52	4513	2	117	334	6	3	NZ_CP007225.1, NZ_CP007226.1
RefSoil	RefSoil_730	5	70	4787	12	124	340	16	12	NC_020209.1
RefSoil	RefSoil_257	3	61	4896	5	126	347	3	8	NC_010682.1, NC_010678.1
RefSoil	RefSoil_842	2	42	4392	0	113	342	4	10	NZ_CP003915.1
RefSoil	RefSoil_607	7	77	3542	8	91	214	6	2	NC_017445.1
RefSoil	RefSoil_371	7	76	3856	6	99	217	2	6	NC_013791.2
RefSoil	RefSoil_641	6	78	5728	8	147	490	8	11	NC_017920.1, NC_017921.1, NC_017922.1
RefSoil	RefSoil_769	4	71	5778	3	148	426	7	17	NC_021173.1, NC_021174.1
RefSoil	RefSoil_310	7	76	3670	8	94	222	6	2	NC_012214.1
RefSoil	RefSoil_498	5	69	6014	5	154	525	10	9	NC_015726.1, NC_015723.1
RefSoil	RefSoil_335	3	57	4620	4	118	347	3	6	NC_012856.1, NC_012857.1
RefSoil	RefSoil_51	5	63	5369	16	137	350	11	11	NC_005773.3
RefSoil	RefSoil_606	7	76	3686	8	94	227	6	2	NC_017390.1
RefSoil	RefSoil_795	5	57	2549	0	65	123	1	3	NC_021991.1
RefSoil	RefSoil_920	4	49	2119	0	54	92	0	6	NZ_CP008923.1
RefSoil	RefSoil_171	10	88	3493	3	89	219	0	5	NC_009328.1
RefSoil	RefSoil_11	3	68	4990	5	127	425	6	9	NC_002927.3
RefSoil	RefSoil_511	2	51	3895	0	99	208	5	6	NC_015976.1
RefSoil	RefSoil_358	3	83	4855	4	123	374	4	4	NC_013446.2
RefSoil	RefSoil_252	6	68	5528	7	140	411	11	9	NC_010622.1, NC_010623.1
RefSoil	RefSoil_696	3	67	4913	5	124	413	6	9	NC_019382.1
RefSoil	RefSoil_505	3	55	3219	0	81	204	2	5	NC_015857.1, NC_015858.1
RefSoil	RefSoil_843	7	69	4014	4	101	256	3	11	NZ_CP003923.1
RefSoil	RefSoil_188	3	53	3221	0	81	189	2	4	NC_009505.1, NC_009504.1
RefSoil	RefSoil_659	4	61	3835	11	96	216	6	6	NC_018177.1
RefSoil	RefSoil_862	6	65	5077	12	127	370	14	9	NZ_CP007039.1
RefSoil	RefSoil_629	7	67	4039	1	101	213	5	6	NC_017668.1
RefSoil	RefSoil_319	6	70	4814	1	120	343	5	10	NC_012560.1
